Region,5927.0884,-27.933308,-48.931004,0,0,2000
Region,1697.7761,-574.74915,-385.4438,-1000,-1000,1000
Region,1697.7761,-574.74915,-385.4438,-500,-500,500
Region,232.90944,-817.1758,-853.74664,-750,-750,250
Region,186.17442,-795.47394,-920.2041,-875,-875,125
Region,139.82642,-793.8879,-963.8418,-812.5,-937.5,62.5
Body,66.21859,-834.82574,-966.3677,0.9936949,1.499231
Body,73.607834,-757.0596,-961.5694,0.9440227,0.36030284
Body,46.348003,-800.259,-788.5546,1.3457664,1.05909
Body,46.735023,-903.62744,-589.0053,1.501561,0.030694714
Region,246.38065,-165.88643,-729.9414,-250,-750,250
Region,150.40057,-177.6117,-827.46234,-125,-875,125
Body,70.52375,-151.51186,-909.21625,0.9151255,1.3107762
Body,79.87682,-200.6554,-755.28125,0.097887866,0.19666436
Body,27.73461,-498.57645,-623.5408,0.9156143,1.6130509
Body,68.245476,-4.842551,-558.2638,0.7850534,1.4065646
Region,814.2492,-712.69745,-251.27705,-750,-250,250
Region,73.76712,-898.8967,-369.25055,-875,-375,125
Body,40.161243,-975.0116,-451.63104,2.2715745,2.1074462
Body,33.60588,-807.9344,-270.80038,0.8135482,0.6370117
Region,452.49225,-588.9667,-351.38144,-625,-375,125
Body,73.507,-635.463,-455.31873,0.42325464,0.38338503
Body,132.5454,-542.3049,-422.62134,0.01148969,0.6032049
Region,246.43985,-600.19464,-282.06372,-562.5,-312.5,62.5
Body,64.32818,-561.0778,-324.05286,0.8967778,1.3973646
Body,182.11168,-614.012,-267.2317,0.5162989,0.30472878
Region,268.9565,-879.05524,-63.28751,-875,-125,125
Region,199.97546,-902.8661,-76.73188,-937.5,-62.5,62.5
Region,124.92497,-909.5083,-116.419365,-906.25,-93.75,31.25
Body,61.4857,-917.79663,-108.79181,0.47646195,0.50285625
Body,63.43927,-901.4752,-123.81204,1.2868998,1.4268345
Body,75.05049,-891.8097,-10.670247,0.59338087,1.3032795
Body,68.98106,-810.0279,-24.312407,1.1385878,0.97334725
Body,19.033262,-581.81104,-70.64616,1.6429219,0.85628676
